model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
z-ai/glm-5,gmicloud/fp8,GMICloud,a9ca9362-3ad6-458a-bd00-a9f09e42796c,2026-04-11T00:00:00.000Z,2026-04-12T00:00:00.000Z,metered,,0.000003
qwen/qwen3.5-397b-a17b,parasail/fp8,Parasail,c44f326d-715f-4c77-9526-1ecc3416078e,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,3E-7
arcee-ai/trinity-large-thinking,parasail/fp4,Parasail,c1f9f8e6-9556-4b14-8372-e81bf9a5b562,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,6E-8
qwen/qwen3-vl-235b-a22b-instruct,parasail/fp8,Parasail,9d2c36b8-0885-4ea2-9df4-954e856e4f7a,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1E-7
google/gemma-4-31b-it,parasail/fp8,Parasail,9d4644e9-a5e5-41f4-b810-d75f484d2c24,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,7E-8
thedrummer/skyfall-36b-v2,parasail/fp8,Parasail,1eb01ded-ae11-49e6-8aa6-3067584070bd,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,2.5E-7
z-ai/glm-4.7,parasail/fp8,Parasail,068789d4-1406-46eb-9bb8-c871d44ea0ce,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.1E-7
qwen/qwen3-235b-a22b-2507,parasail/fp8,Parasail,043eb28f-fc28-4b0d-9800-b249fcfcfbf9,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,5E-8
openai/gpt-oss-120b,parasail/fp4,Parasail,cedca069-169c-4bc2-963a-7ad3a21380c8,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,5.5E-8
qwen/qwen3-vl-8b-instruct,parasail/bf16,Parasail,91501e15-158f-48c3-967c-faf664e98284,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.2E-7
qwen/qwen2.5-vl-72b-instruct,parasail/fp8,Parasail,3f0b8e14-7b24-431d-a19e-f2e257967b0a,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,4E-7
google/gemma-4-26b-a4b-it,parasail/bf16,Parasail,91f05fe1-9a18-4bcf-8cfa-093c369d8cea,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,6E-8
deepseek/deepseek-v3.2,parasail/fp8,Parasail,4c18a672-9069-469d-9e6b-8af2300fe7b7,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.3E-7
openai/gpt-oss-20b,parasail/fp4,Parasail,8febad8c-bc14-42f6-9b78-67e46f6c0cfb,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,2E-8
minimax/minimax-m2.5,parasail/fp8,Parasail,40b0bd20-07e6-4f11-968d-4a2539b00f00,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,3E-8
meta-llama/llama-3.3-70b-instruct,parasail/fp8,Parasail,d0567a96-c81f-4106-bc94-eb36da460587,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.1E-7
moonshotai/kimi-k2.5,parasail/int4,Parasail,ef5d8dac-e71b-4ba0-bc09-f01fabf23d3d,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,2E-7
qwen/qwen3.5-35b-a3b,parasail/fp8,Parasail,09b7c9ad-3344-41a7-9571-0849cf9ac950,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.5E-7
qwen/qwen3-next-80b-a3b-instruct,parasail/fp8,Parasail,566f9428-0fa4-42dc-8d00-48965e87a9cc,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,7E-8
bytedance/ui-tars-1.5-7b,parasail/bf16,Parasail,22a474a1-cb4e-42d2-b19a-c1be103f5abd,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1E-7
meta-llama/llama-4-maverick,parasail/fp8,Parasail,48b01f86-ff55-464f-ac51-01f97ebf88a1,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.7E-7
z-ai/glm-5,parasail/fp8,Parasail,14b8ca12-e20c-422a-b2e1-0b0f7f8048bf,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,2E-7
mistralai/mistral-small-3.2-24b-instruct,parasail/bf16,Parasail,fa50f0f7-ddc9-4155-bd92-d20c92dec640,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,5E-8
qwen/qwen3-coder-next,parasail/bf16,Parasail,abacc5e9-91e6-40bf-93c6-9112334a4042,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,1.1E-7
google/gemma-3-27b-it,parasail/fp8,Parasail,2f608ade-87b1-46ed-8ae7-2714dddf2abb,2026-04-13T00:00:00.000Z,2026-04-14T00:00:00.000Z,metered,,4E-8
google/gemma-4-26b-a4b-it,ionstream/bf16,Ionstream,8136438c-85c4-460f-9df5-2051f085654f,2026-04-16T00:00:00.000Z,2026-04-17T00:00:00.000Z,metered,,4E-8
moonshotai/kimi-k2.6,parasail/int4,Parasail,add59ea9-3c98-449b-b159-c5ff38127068,2026-04-21T00:00:00.000Z,2026-04-22T00:00:00.000Z,metered,,2E-7
